NTACode,NTAName,Borough,Year,Population,numStations,BX_departures,BK_departures,MN_departures,QN_departures,SI_departures,BX_arrivals,BK_arrivals,MN_arrivals,QN_arrivals,SI_arrivals
BK88,Borough Park,Brooklyn,2010,106357,0,0,25542,0,0,0,2286,27813,1870,4043,2223
QN52,East Flushing,Queens,2010,26982,0,0,0,0,10343,0,184,256,131,2604,39
QN48,Auburndale,Queens,2010,19996,0,0,0,0,7777,0,205,301,106,1873,64
QN51,Murray Hill,Queens,2010,51739,0,0,0,0,18530,0,482,516,261,4555,83
QN27,East Elmhurst,Queens,2010,23150,0,0,0,0,7899,0,616,702,429,2360,82
BX35,Morrisania-Melrose,Bronx,2010,37865,0,12505,0,0,0,0,2326,699,839,873,102
QN07,Hollis,Queens,2010,20269,0,0,0,0,8423,0,98,220,65,946,16
MN06,Manhattanville,Manhattan,2010,22950,1,0,0,7317,0,0,1515,862,1513,1108,128
QN02,Springfield Gardens North,Queens,2010,25409,0,0,0,0,8042,0,174,606,143,1566,77
QN46,Bayside-Bayside Hills,Queens,2010,43808,0,0,0,0,17433,0,702,968,339,6133,128
BK25,Homecrest,Brooklyn,2010,44316,0,0,14025,0,0,0,430,7237,472,1248,614
BX59,Westchester-Unionport,Bronx,2010,27248,0,9745,0,0,0,0,3285,754,685,1009,116
QN41,Fresh Meadows-Utopia,Queens,2010,17812,0,0,0,0,6417,0,272,815,181,2637,119
MN19,Turtle Bay-East Midtown,Manhattan,2010,51231,17,0,0,17591,0,0,11880,24633,31940,26273,3320
QN08,St. Albans,Queens,2010,48593,0,0,0,0,18475,0,260,748,155,1921,86
QN25,Corona,Queens,2010,57658,0,0,0,0,16896,0,285,635,225,2533,74
QN06,Jamaica Estates-Holliswood,Queens,2010,25480,0,0,0,0,10097,0,109,268,105,2292,30
BK44,Madison,Brooklyn,2010,38917,0,0,13765,0,0,0,324,5025,278,740,330
BK41,Kensington-Ocean Parkway,Brooklyn,2010,36891,0,0,11599,0,0,0,513,3328,225,535,175
BK95,Erasmus,Brooklyn,2010,29938,0,0,11863,0,0,0,296,2535,215,675,207
BX33,Longwood,Bronx,2010,26196,0,7776,0,0,0,0,1648,325,466,564,71
BK69,Clinton Hill,Brooklyn,2010,34791,13,0,15004,0,0,0,335,4098,844,1416,301
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,2010,64518,0,0,21724,0,0,0,601,8299,453,1407,631
QN61,Jamaica,Queens,2010,53751,0,0,0,0,18925,0,1707,4125,811,10845,421
QN01,South Jamaica,Queens,2010,38894,0,0,0,0,14095,0,153,386,78,1135,29
BX10,Pelham Bay-Country Club-City Island,Bronx,2010,26583,0,10399,0,0,0,0,2210,331,315,451,36
QN33,Cambria Heights,Queens,2010,18677,0,0,0,0,9378,0,52,216,41,633,19
QN70,Astoria,Queens,2010,78793,24,0,0,0,34978,0,1680,2406,1518,7169,288
BK43,Midwood,Brooklyn,2010,52835,0,0,19828,0,0,0,1185,10476,840,1764,753
BK26,Gravesend,Brooklyn,2010,29436,0,0,8925,0,0,0,252,2818,182,536,461
BK29,Bensonhurst East,Brooklyn,2010,62978,0,0,20938,0,0,0,262,5542,306,916,758
BK72,Williamsburg,Brooklyn,2010,32926,3,0,6268,0,0,0,463,4337,453,1093,129
BK75,Bedford,Brooklyn,2010,70713,21,0,24430,0,0,0,1047,6833,1016,2158,299
BK35,Stuyvesant Heights,Brooklyn,2010,63504,9,0,22263,0,0,0,299,2751,427,1142,204
BK79,Ocean Hill,Brooklyn,2010,31935,0,0,11271,0,0,0,287,2268,277,944,89
BK61,Crown Heights North,Brooklyn,2010,103169,11,0,39564,0,0,0,655,6949,710,2051,338
BK63,Crown Heights South,Brooklyn,2010,39670,5,0,14675,0,0,0,241,3258,364,799,185
BK96,Rugby-Remsen Village,Brooklyn,2010,55326,0,0,20175,0,0,0,213,3924,239,1175,248
BX31,Allerton-Pelham Gardens,Bronx,2010,28903,0,10018,0,0,0,0,2318,321,251,397,74
BK93,Starrett City,Brooklyn,2010,13354,0,0,4067,0,0,0,97,807,88,413,74
BK91,East Flatbush-Farragut,Brooklyn,2010,50355,0,0,20618,0,0,0,576,5052,677,1580,494
BK78,Bushwick South,Brooklyn,2010,72101,3,0,27241,0,0,0,875,5609,1044,3044,291
BK77,Bushwick North,Brooklyn,2010,57138,0,0,20170,0,0,0,595,5123,911,3535,234
QN20,Ridgewood,Queens,2010,69317,0,0,0,0,28332,0,708,3132,685,5166,347
BX41,Mount Hope,Bronx,2010,51807,0,16940,0,0,0,0,3162,485,728,578,114
BK46,Ocean Parkway South,Brooklyn,2010,20299,0,0,6052,0,0,0,522,3817,246,557,172
BX37,Van Nest-Morris Park-Westchester Square,Bronx,2010,29250,0,10065,0,0,0,0,7050,1546,1760,1795,190
BK68,Fort Greene,Brooklyn,2010,26079,18,0,11345,0,0,0,791,6881,1394,2573,738
BX40,Fordham South,Bronx,2010,28262,0,8267,0,0,0,0,2030,360,580,396,65
MN31,Lenox Hill-Roosevelt Island,Manhattan,2010,80771,14,0,0,23958,0,0,5760,7927,9592,9818,857
QN68,Queensbridge-Ravenswood-Long Island City,Queens,2010,20030,17,0,0,0,7605,0,1991,4258,2122,7666,388
QN42,Oakland Gardens,Queens,2010,28237,0,0,0,0,10049,0,282,414,154,1807,71
BX49,Pelham Parkway,Bronx,2010,30073,0,10015,0,0,0,0,3626,1156,886,1470,178
BX08,West Farms-Bronx River,Bronx,2010,35011,0,10552,0,0,0,0,1558,677,414,575,108
BX46,Parkchester,Bronx,2010,29821,0,11196,0,0,0,0,1319,219,208,347,34
BX55,Soundview-Bruckner,Bronx,2010,35634,0,10666,0,0,0,0,1349,255,220,452,69
BX05,Bedford Park-Fordham North,Bronx,2010,54415,0,16649,0,0,0,0,3507,807,806,890,144
BX43,Norwood,Bronx,2010,40494,0,12444,0,0,0,0,4744,843,1290,1063,117
SI08,Grymes Hill-Clifton-Fox Hills,Staten Island,2010,22460,0,0,0,0,0,7420,47,410,145,157,961
BK30,Dyker Heights,Brooklyn,2010,42419,0,0,15349,0,0,0,750,5269,566,1561,1063
MN04,Hamilton Heights,Manhattan,2010,48520,0,0,0,17014,0,0,1048,460,1232,626,102
BK23,West Brighton,Brooklyn,2010,17750,0,0,4792,0,0,0,132,1405,124,347,307
QN19,Glendale,Queens,2010,32496,0,0,0,0,14738,0,309,1151,240,2979,148
BX06,Belmont,Bronx,2010,27378,0,7946,0,0,0,0,2623,481,854,527,100
BX28,Van Cortlandt Village,Bronx,2010,50100,0,15690,0,0,0,0,2434,498,585,648,118
BX63,West Concourse,Bronx,2010,39282,0,12391,0,0,0,0,2790,811,1059,1061,147
QN71,Old Astoria,Queens,2010,27814,9,0,0,0,11892,0,808,1342,788,2567,124
QN38,Pomonok-Flushing Heights-Hillcrest,Queens,2010,34034,0,0,0,0,11807,0,723,1581,564,4935,270
BK09,Brooklyn Heights-Cobble Hill,Brooklyn,2010,22887,11,0,9723,0,0,0,890,6292,1499,2625,657
SI99,park-cemetery-etc-Staten Island,Staten Island,2010,0,0,0,0,0,0,14,0,0,0,0,3
MN15,Clinton,Manhattan,2010,45884,14,0,0,17887,0,0,6282,11275,12226,10068,1394
QN18,Rego Park,Queens,2010,28260,0,0,0,0,11486,0,869,1920,543,3941,178
QN26,North Corona,Queens,2010,52037,0,0,0,0,12162,0,303,480,266,1947,42
QN34,Queens Village,Queens,2010,52504,0,0,0,0,23598,0,429,915,196,2953,110
QN43,Bellerose,Queens,2010,25287,0,0,0,0,10338,0,399,588,193,2168,96
QN21,Middle Village,Queens,2010,37929,0,0,0,0,17582,0,196,839,211,2528,82
QN29,Elmhurst,Queens,2010,88427,0,0,0,0,29210,0,2004,3867,1854,8229,544
QN66,Laurelton,Queens,2010,24453,0,0,0,0,11005,0,87,304,36,1232,27
BX62,Woodlawn-Wakefield,Bronx,2010,42483,0,16440,0,0,0,0,1630,383,280,453,143
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,2010,28018,0,0,0,0,10066,0,122,1008,122,1892,128
QN47,Ft. Totten-Bay Terrace-Clearview,Queens,2010,21751,0,0,0,0,8201,0,413,370,203,1854,60
QN49,Whitestone,Queens,2010,30773,0,0,0,0,12733,0,1105,723,452,4549,129
QN12,Hammels-Arverne-Edgemere,Queens,2010,36885,0,0,0,0,11296,0,128,870,107,1664,79
QN15,Far Rockaway-Bayswater,Queens,2010,50058,0,0,0,0,13914,0,308,1545,190,3681,152
BX07,Bronxdale,Bronx,2010,35538,0,11371,0,0,0,0,2720,780,413,455,74
BK85,East New York (Pennsylvania Ave),Brooklyn,2010,29343,0,0,10231,0,0,0,869,2463,373,1279,122
QN55,South Ozone Park,Queens,2010,75878,0,0,0,0,29664,0,398,1773,305,4747,141
BK27,Bath Beach,Brooklyn,2010,29931,0,0,9800,0,0,0,132,2115,127,400,473
BK28,Bensonhurst West,Brooklyn,2010,88727,0,0,29300,0,0,0,546,9247,549,1417,1269
QN76,Baisley Park,Queens,2010,34603,0,0,0,0,13059,0,126,454,79,1596,41
QN30,Maspeth,Queens,2010,30516,0,0,0,0,14163,0,656,2316,577,4510,225
QN50,Elmhurst-Maspeth,Queens,2010,25521,0,0,0,0,9635,0,377,1526,373,2376,111
QN23,College Point,Queens,2010,24275,0,0,0,0,9044,0,1290,1605,765,5794,287
QN37,Kew Gardens Hills,Queens,2010,37479,0,0,0,0,12920,0,692,1221,387,3544,118
BK76,Greenpoint,Brooklyn,2010,34719,16,0,16975,0,0,0,648,5289,1262,3780,446
QN63,Woodside,Queens,2010,45099,0,0,0,0,17313,0,1215,2076,959,4996,216
BX30,Kingsbridge Heights,Bronx,2010,32496,0,8951,0,0,0,0,2360,427,687,535,76
BX36,University Heights-Morris Heights,Bronx,2010,54188,0,16924,0,0,0,0,2006,383,608,397,50
BX98,Rikers Island,Bronx,2010,11091,0,972,0,0,0,0,287,204,194,355,59
BK83,Cypress Hills-City Line,Brooklyn,2010,49223,0,0,17346,0,0,0,179,1961,170,1395,68
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,Staten Island,2010,31474,0,0,0,0,0,10734,157,819,184,378,2915
MN24,SoHo-TriBeCa-Civic Center-Little Italy,Manhattan,2010,42742,29,0,0,17207,0,0,16142,54374,36239,36230,10516
SI48,Arden Heights,Staten Island,2010,25238,0,0,0,0,0,8405,38,133,34,75,595
MN34,East Harlem North,Manhattan,2010,58019,20,0,0,19281,0,0,3496,2261,3209,2153,389
SI36,Old Town-Dongan Hills-South Beach,Staten Island,2010,24835,0,0,0,0,0,8843,146,952,212,421,4362
BX44,Williamsbridge-Olinville,Bronx,2010,61321,0,21027,0,0,0,0,3289,607,658,611,137
SI28,Port Richmond,Staten Island,2010,20191,0,0,0,0,0,6632,153,520,133,193,1621
BK73,North Side-South Side,Brooklyn,2010,45774,26,0,23084,0,0,0,2050,12585,2433,4727,673
BK81,Brownsville,Brooklyn,2010,58300,0,0,18707,0,0,0,460,3202,419,1554,221
SI07,Westerleigh,Staten Island,2010,24102,0,0,0,0,0,9759,66,427,75,189,2309
BX52,Schuylerville-Throgs Neck-Edgewater Park,Bronx,2010,44167,0,16485,0,0,0,0,2566,544,453,1015,126
QN54,Richmond Hill,Queens,2010,62982,0,0,0,0,23922,0,898,3009,527,7527,348
QN22,Flushing,Queens,2010,72008,0,0,0,0,21246,0,1644,3721,1812,14558,412
QN62,Queensboro Hill,Queens,2010,20800,0,0,0,0,7393,0,232,505,197,3577,36
MN27,Chinatown,Manhattan,2010,47844,16,0,0,14856,0,0,1156,7962,4989,4391,849
MN35,Washington Heights North,Manhattan,2010,67136,0,0,0,22883,0,0,3024,1073,2799,982,186
QN72,Steinway,Queens,2010,47534,10,0,0,0,22086,0,1523,2008,1270,5497,290
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,Staten Island,2010,27770,0,0,0,0,0,9900,108,500,83,268,2082
MN25,Battery Park City-Lower Manhattan,Manhattan,2010,39699,23,0,0,15630,0,0,12667,39938,30420,27092,8445
QN17,Forest Hills,Queens,2010,83728,0,0,0,0,35131,0,2155,5351,1316,12120,715
QN99,park-cemetery-etc-Queens,Queens,2010,436,2,0,0,0,2269,0,467,736,358,2134,84
MN14,Lincoln Square,Manhattan,2010,61489,12,0,0,17690,0,0,5351,8313,11229,8397,1211
MN17,Midtown-Midtown South,Manhattan,2010,28630,30,0,0,13129,0,0,46412,103203,109522,95853,13775
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,Manhattan,2010,70150,33,0,0,27932,0,0,15544,44649,41024,31694,4996
MN32,Yorkville,Manhattan,2010,77942,14,0,0,25418,0,0,2825,3048,4188,3891,339
MN40,Upper East Side-Carnegie Hill,Manhattan,2010,61207,15,0,0,19276,0,0,6903,9904,15663,12930,1360
BK34,Sunset Park East,Brooklyn,2010,72340,0,0,19132,0,0,0,272,7421,646,1167,917
QN53,Woodhaven,Queens,2010,56674,0,0,0,0,22809,0,819,1614,290,3407,115
QN56,Ozone Park,Queens,2010,21376,0,0,0,0,9027,0,147,751,119,1473,83
SI25,Oakwood-Oakwood Beach,Staten Island,2010,22049,0,0,0,0,0,7639,50,213,40,102,812
SI54,Great Kills,Staten Island,2010,40720,0,0,0,0,0,13981,170,814,170,250,3487
BK60,Prospect Lefferts Gardens-Wingate,Brooklyn,2010,67459,4,0,24763,0,0,0,922,6932,899,2371,391
BX26,Highbridge,Bronx,2010,37727,0,11810,0,0,0,0,1336,244,359,302,56
MN11,Central Harlem South,Manhattan,2010,43383,12,0,0,17745,0,0,2251,1385,2639,1486,175
BK19,Brighton Beach,Brooklyn,2010,35547,0,0,10735,0,0,0,929,5997,644,1276,580
BK21,Seagate-Coney Island,Brooklyn,2010,31965,0,0,9107,0,0,0,318,2862,177,538,384
SI45,New Dorp-Midland Beach,Staten Island,2010,21896,0,0,0,0,0,7912,258,966,205,465,3469
MN50,Stuyvesant Town-Cooper Village,Manhattan,2010,21049,4,0,0,6582,0,0,152,252,239,364,35
SI05,New Springville-Bloomfield-Travis,Staten Island,2010,39597,0,0,0,0,0,13718,417,1456,320,714,6595
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Staten Island,2010,30714,0,0,0,0,0,10926,491,1475,372,832,3861
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Brooklyn,2010,34495,26,0,17038,0,0,0,5467,22125,6290,13022,4152
SI22,West New Brighton-New Brighton-St. George,Staten Island,2010,33551,0,0,0,0,0,11312,285,1539,333,540,2961
SI35,New Brighton-Silver Lake,Staten Island,2010,17525,0,0,0,0,0,6462,117,628,159,246,3337
BK82,East New York,Brooklyn,2010,91958,0,0,31212,0,0,0,1230,9034,931,4843,585
QN57,Lindenwood-Howard Beach,Queens,2010,26148,0,0,0,0,9396,0,100,654,122,1898,72
BX01,Claremont-Bathgate,Bronx,2010,31078,0,9664,0,0,0,0,3822,712,980,957,133
BX22,North Riverdale-Fieldston-Riverdale,Bronx,2010,27860,0,9365,0,0,0,0,2992,572,969,491,91
BX29,Spuyten Duyvil-Kingsbridge,Bronx,2010,30161,0,10433,0,0,0,0,3671,533,961,679,117
BX34,Melrose South-Mott Haven North,Bronx,2010,39214,0,12607,0,0,0,0,5486,1599,1795,1872,208
BX39,Mott Haven-Port Morris,Bronx,2010,52413,0,15513,0,0,0,0,5990,1575,2348,2291,334
BX03,Eastchester-Edenwald-Baychester,Bronx,2010,34517,0,11584,0,0,0,0,1764,244,220,416,56
BX13,Co-op City,Bronx,2010,43752,0,13507,0,0,0,0,4433,769,699,1207,196
BK40,Windsor Terrace,Brooklyn,2010,20988,0,0,9322,0,0,0,239,1890,316,366,168
BK99,park-cemetery-etc-Brooklyn,Brooklyn,2010,418,9,0,1596,0,0,0,380,2429,344,1066,172
BK64,Prospect Heights,Brooklyn,2010,19849,10,0,9582,0,0,0,220,2357,318,552,156
MN01,Marble Hill-Inwood,Manhattan,2010,46746,0,0,0,15255,0,0,1739,385,1565,490,110
BX27,Hunts Point,Bronx,2010,27204,0,8280,0,0,0,0,8455,1584,2102,2820,318
BX14,East Concourse-Concourse Village,Bronx,2010,62284,0,19530,0,0,0,0,3256,813,1097,1197,173
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,Brooklyn,2010,45231,0,0,18789,0,0,0,240,4529,209,1066,376
BK50,Canarsie,Brooklyn,2010,83693,0,0,31502,0,0,0,426,4812,270,1655,349
BK42,Flatbush,Brooklyn,2010,105804,0,0,39827,0,0,0,838,8533,662,1642,641
BK58,Flatlands,Brooklyn,2010,64762,0,0,26840,0,0,0,560,6736,375,1398,566
BK31,Bay Ridge,Brooklyn,2010,79371,0,0,30695,0,0,0,751,8705,820,1599,2078
BK32,Sunset Park West,Brooklyn,2010,54041,2,0,16946,0,0,0,1279,14419,1634,3116,2306
QN44,Glen Oaks-Floral Park-New Hyde Park,Queens,2010,22571,0,0,0,0,9004,0,358,699,314,3397,454
QN45,Douglas Manor-Douglaston-Little Neck,Queens,2010,24739,0,0,0,0,9028,0,256,354,141,2527,62
QN35,Briarwood-Jamaica Hills,Queens,2010,39138,0,0,0,0,14605,0,318,851,227,3416,131
QN60,Kew Gardens,Queens,2010,23278,0,0,0,0,9686,0,668,1395,425,3265,183
BX17,East Tremont,Bronx,2010,43423,0,13132,0,0,0,0,2240,370,505,486,71
BX75,Crotona Park East,Bronx,2010,20277,0,6771,0,0,0,0,1265,293,395,415,80
MN23,West Village,Manhattan,2010,66880,27,0,0,25530,0,0,6028,19420,16903,12381,1760
BX09,Soundview-Castle Hill-Clason Point-Harding Park,Bronx,2010,53686,0,16554,0,0,0,0,3620,982,773,1469,233
BX99,park-cemetery-etc-Bronx,Bronx,2010,1906,0,1251,0,0,0,0,551,74,118,139,10
QN28,Jackson Heights,Queens,2010,108152,0,0,0,0,35748,0,1649,2231,1391,7163,285
QN98,Airport,Queens,2010,0,0,0,0,0,221,0,1786,6104,1759,11414,470
SI14,Grasmere-Arrochar-Ft. Wadsworth,Staten Island,2010,16079,0,0,0,0,0,5560,64,409,103,130,1288
SI37,Stapleton-Rosebank,Staten Island,2010,26453,0,0,0,0,0,9207,149,828,139,243,1910
BK33,Carroll Gardens-Columbia Street-Red Hook,Brooklyn,2010,38353,34,0,17102,0,0,0,859,7722,1260,1922,1000
BK37,Park Slope-Gowanus,Brooklyn,2010,67649,32,0,31386,0,0,0,1285,16120,2139,3835,1456
QN03,Springfield Gardens South-Brookville,Queens,2010,20132,0,0,0,0,7603,0,395,1731,279,4332,138
QN05,Rosedale,Queens,2010,25063,0,0,0,0,10200,0,127,526,62,1384,67
BK90,East Williamsburg,Brooklyn,2010,34158,14,0,16462,0,0,0,813,7109,1002,3879,311
QN31,Hunters Point-Sunnyside-West Maspeth,Queens,2010,63271,19,0,0,0,29552,0,7683,14211,7539,23586,1550
MN20,Murray Hill-Kips Bay,Manhattan,2010,50742,17,0,0,17320,0,0,8865,21065,19735,19389,2821
MN21,Gramercy,Manhattan,2010,27988,6,0,0,9947,0,0,2909,7325,6485,5821,1147
MN33,East Harlem South,Manhattan,2010,57902,17,0,0,19156,0,0,4116,3558,4407,4528,440
MN22,East Village,Manhattan,2010,44136,14,0,0,16915,0,0,1980,6621,4716,4421,631
MN28,Lower East Side,Manhattan,2010,72957,20,0,0,22938,0,0,933,3168,2427,1917,272
MN09,Morningside Heights,Manhattan,2010,55929,15,0,0,14285,0,0,3759,3893,6642,3568,339
MN12,Upper West Side,Manhattan,2010,132378,25,0,0,42429,0,0,5914,5653,9713,6251,682
SI11,Charleston-Richmond Valley-Tottenville,Staten Island,2010,23313,0,0,0,0,0,8128,246,742,176,383,3269
SI32,Rossville-Woodrow,Staten Island,2010,20763,0,0,0,0,0,6920,33,130,17,111,828
MN03,Central Harlem North-Polo Grounds,Manhattan,2010,75282,4,0,0,27100,0,0,3124,1687,3293,1931,243
MN36,Washington Heights South,Manhattan,2010,84438,0,0,0,26987,0,0,3617,2058,4028,2332,341
MN99,park-cemetery-etc-Manhattan,Manhattan,2010,1849,14,0,0,1091,0,0,849,1177,1213,1117,202
