,NTACode,numStation
0,BK88,0
1,QN52,0
2,QN48,0
3,QN51,0
4,QN27,0
5,BX35,0
6,QN07,0
7,MN06,1
8,QN02,0
9,QN46,0
10,BK25,0
11,BX59,0
12,QN41,0
13,MN19,17
14,QN08,0
15,QN25,0
16,QN06,0
17,BK44,0
18,BK41,0
19,BK95,0
20,BX33,0
21,BK69,13
22,BK17,0
23,QN61,0
24,QN01,0
25,BX10,0
26,QN33,0
27,QN70,24
28,BK43,0
29,BK26,0
30,BK29,0
31,BK72,3
32,BK75,21
33,BK35,9
34,BK79,0
35,BK61,11
36,BK63,5
37,BK96,0
38,BX31,0
39,BK93,0
40,BK91,0
41,BK78,3
42,BK77,0
43,QN20,0
44,BX41,0
45,BK46,0
46,BX37,0
47,BK68,18
48,BX40,0
49,MN31,14
50,QN68,17
51,QN42,0
52,BX49,0
53,BX08,0
54,BX46,0
55,BX55,0
56,BX05,0
57,BX43,0
58,SI08,0
59,BK30,0
60,MN04,0
61,BK23,0
62,QN19,0
63,BX06,0
64,BX28,0
65,BX63,0
66,QN71,9
67,QN38,0
68,BK09,11
69,SI99,0
70,MN15,14
71,QN18,0
72,QN26,0
73,QN34,0
74,QN43,0
75,QN21,0
76,QN29,0
77,QN66,0
78,BX62,0
79,QN10,0
80,QN47,0
81,QN49,0
82,QN12,0
83,QN15,0
84,BX07,0
85,BK85,0
86,QN55,0
87,BK27,0
88,BK28,0
89,QN76,0
90,QN30,0
91,QN50,0
92,QN23,0
93,QN37,0
94,BK76,16
95,QN63,0
96,BX30,0
97,BX36,0
98,BX98,0
99,BK83,0
100,SI12,0
101,MN24,29
102,SI48,0
103,MN34,20
104,SI36,0
105,BX44,0
106,SI28,0
107,BK73,26
108,BK81,0
109,SI07,0
110,BX52,0
111,QN54,0
112,QN22,0
113,QN62,0
114,MN27,16
115,MN35,0
116,QN72,10
117,SI01,0
118,MN25,23
119,QN17,0
120,QN99,2
121,MN14,12
122,MN17,30
123,MN13,33
124,MN32,14
125,MN40,15
126,BK34,0
127,QN53,0
128,QN56,0
129,SI25,0
130,SI54,0
131,BK60,4
132,BX26,0
133,MN11,12
134,BK19,0
135,BK21,0
136,SI45,0
137,MN50,4
138,SI05,0
139,SI24,0
140,BK38,26
141,SI22,0
142,SI35,0
143,BK82,0
144,QN57,0
145,BX01,0
146,BX22,0
147,BX29,0
148,BX34,0
149,BX39,0
150,BX03,0
151,BX13,0
152,BK40,0
153,BK99,9
154,BK64,10
155,MN01,0
156,BX27,0
157,BX14,0
158,BK45,0
159,BK50,0
160,BK42,0
161,BK58,0
162,BK31,0
163,BK32,2
164,QN44,0
165,QN45,0
166,QN35,0
167,QN60,0
168,BX17,0
169,BX75,0
170,MN23,27
171,BX09,0
172,BX99,0
173,QN28,0
174,QN98,0
175,SI14,0
176,SI37,0
177,BK33,34
178,BK37,32
179,QN03,0
180,QN05,0
181,BK90,14
182,QN31,19
183,MN20,17
184,MN21,6
185,MN33,17
186,MN22,14
187,MN28,20
188,MN09,15
189,MN12,25
190,SI11,0
191,SI32,0
192,MN03,4
193,MN36,0
194,MN99,14
